Habitat,Sector,Water_mass,Sediment,Lat end dec,Long_start_dec,Depth_start,Wind_end,Wind_speed_start,Wind_speed_end,Watertemp_ground,O2-saturation_ground
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,5,4,2,67.639,-12.162,1819.3,7,11,10,-0.8511,
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,5,4,2,67.639,-12.162,1819.3,7,11,10,-0.8511,
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
1,2,5,1,67.075,-13.064,1574.7,2,6,5,-0.74403,269.2512
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
2,2,7,4,66.293,-12.347,579.1,8,10,7,-0.40217,283.581
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
1,2,5,1,67.075,-13.064,1574.7,2,6,5,-0.74403,269.2512
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
2,2,7,4,66.293,-12.347,579.1,8,10,7,-0.40217,283.581
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
2,1,3,1,67.215,-26.207,716.5,6,2,3,0.07,292.966
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
1,3,6,5,61.654,-31.356,2504.7,8,4,8,3.16,254.17
1,3,6,5,61.654,-31.356,2504.7,8,4,8,3.16,254.17
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,3,6,5,61.654,-31.356,2504.7,8,4,8,3.16,254.17
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,5,4,2,67.639,-12.162,1819.3,7,11,10,-0.8511,
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,4,1,3,60.046,-18.136,2567.7,4,7,7,2.6581,258.389
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
3,1,8,1,67.633,-26.767,315.9,5,6,6,0.706,290.9
1,1,5,1,67.860,-23.696,1281,3,5,6,-0.66561,278.7728
1,3,2,6,63.018,-28.068,1593.8,1,8,8,4.28,245.53
